Timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,Label,
0:34:19,0.309,19.647,0.5922,89.2908,277,2.77,-0.0067,3,0,normal
0:34:20,0.3229,19.7122,0.595,89.537,279,2.79,0.0136,3,0,normal
0:34:21,0.3192,19.648,0.6048,89.608,279,2.79,0.0217,3,0,normal
0:34:22,0.315,19.7397,0.627,89.8939,281,2.81,0.0257,3,0,normal
0:34:23,0.2949,19.7681,0.6272,89.8572,281,2.81,0.0107,3,0,normal
0:34:24,0.2779,19.6749,0.6104,89.0087,280,2.8,-0.0014,3,0,normal
0:34:25,0.2737,19.7603,0.6047,88.8721,282,2.82,0.0031,3,0,normal
0:34:26,0.2561,19.7473,0.6044,88.3601,285,2.85,0.0034,3,0,normal
0:34:27,0.2592,19.5629,0.5906,87.5511,282,2.82,0.0002,3,0,normal
0:34:28,0.2704,19.4974,0.5925,87.1298,284,2.84,0.0124,3,0,normal
0:34:29,0.2693,19.5283,0.5749,88.0398,285,2.85,-0.0069,3,0,normal
0:34:30,0.2773,19.5667,0.5717,88.0037,288,2.88,0.0024,3,0,normal
0:34:31,0.2767,19.5442,0.5758,88.1985,286,2.86,0.0159,3,0,normal
0:34:32,0.2805,19.5612,0.5984,88.349,290,2.9,0.0339,3,0,normal
0:34:33,0.2828,19.5238,0.5782,89.2456,287,2.87,-0.0049,3,0,normal
0:34:34,0.2899,19.5125,0.5531,89.2836,289,2.89,-0.0126,3,0,normal
0:34:35,0.2897,19.6216,0.5518,89.1978,289,2.89,0.0069,3,0,normal
0:34:36,0.283,19.6166,0.5715,88.5209,291,2.91,0.0295,3,0,normal
0:34:37,0.2878,19.6571,0.5786,88.2993,292,2.92,0.0153,3,0,normal
0:34:38,0.2834,19.5316,0.5763,88.5737,292,2.92,0.0071,3,0,normal
0:34:39,0.2626,19.5728,0.5607,88.298,295,2.95,-0.0052,3,0,normal
0:34:40,0.2763,19.6321,0.5681,88.0101,295,2.95,0.0159,3,0,normal
0:34:41,0.2763,19.5994,0.5913,88.2036,299,2.99,0.0361,3,0,normal
0:34:42,0.2857,19.6288,0.5794,87.8864,301,3.01,-0.002,3,0,normal
0:34:43,0.2964,19.779,0.5693,88.516,303,3.03,-0.0053,3,0,normal
0:34:44,0.2795,19.7692,0.5685,89.3639,306,3.06,0.0127,3,0,normal
0:34:45,0.2891,19.9117,0.5689,89.0937,311,3.11,0.0056,3,0,normal
0:34:46,0.2873,20.0055,0.5613,89.6182,313,3.13,-0.0104,3,0,normal
0:34:47,0.2818,19.8896,0.5422,90.2172,315,3.15,-0.3998,3,0,normal
0:34:48,0.2718,20.056,0.5487,90.7672,314,3.14,0.0155,3,0,normal
0:34:49,0.2792,20.0308,0.5326,89.0112,315,3.15,-0.0046,3,0,normal
0:34:50,0.284,19.826,0.5499,88.4305,318,3.18,0.0191,3,0,normal
0:34:51,0.2852,19.8301,0.5425,89.1183,316,3.16,0.0072,3,0,normal
0:34:52,0.2822,19.8469,0.5327,89.1942,318,3.18,,3,0,normal
0:34:53,0.2771,20.0121,0.5192,88.7663,323,3.23,-0.0147,3,0,normal
0:34:54,0.2699,19.9791,0.5602,88.8821,325,3.25,0.0465,3,0,normal
